entity_id,brand_key,brand,product_key,product,variant,gtin,heat_shu,heat_basis,us_availability,evidence_url,price,price_currency,buy_url,in_stock,store_domain,first_observed_at,last_observed_at,names_version,matcher_version,prompt_version,sources,source_count,tiers,hotones_seasons,duplicate_candidate,duplicate_candidate_count,duplicate_of_candidates,corroboration,review_count,review_outlets,review_stance_mix,rules_version
sauce:|2x-spicy-buldak,,,2x-spicy-buldak,2x spicy buldak hot sauce,,00000017672597,,,retail_listing,http://world-en.openfoodfacts.org/product/17672597/2x-spicy-buldak-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|3-chile-olive-oil,,,3-chile-olive-oil,3 Chile Olive Oil,,00669994100051,,,retail_listing,http://world-en.openfoodfacts.org/product/0669994100051/3-chile-olive-oil,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|3-chiles-salsa,,,3-chiles-salsa,3 Chiles Salsa,,00743958002350,,,retail_listing,http://world-en.openfoodfacts.org/product/0743958002350/3-chiles-salsa,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|7-pot-primo-pepper-hot-sauce-fiery-hot,,,7-pot-primo-pepper-hot-sauce-fiery-hot,7-Pot Primo Pepper Hot Sauce - Fiery Hot,,00192484017336,,,retail_listing,http://world-en.openfoodfacts.org/product/0192484017336/7-pot-primo-pepper-hot-sauce-fiery-hot,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|a-frame-double-barrel,,,a-frame-double-barrel,A Frame Double Barrel hot sauce,,00602573890691,,,retail_listing,http://world-en.openfoodfacts.org/product/0602573890691/a-frame-double-barrel-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|a-hint-of-mango,,,a-hint-of-mango,A hint of mango hot sauce,,00858121005295,,,retail_listing,http://world-en.openfoodfacts.org/product/0858121005295/a-hint-of-mango-hot-sauce-mango,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|a-la-brava,,,a-la-brava,A LA Brava hot sauce,,00863029000129,,,retail_listing,http://world-en.openfoodfacts.org/product/0863029000129/a-la-brava-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|african-hot-pepper,,,african-hot-pepper,African hot pepper sauce,,00759333000019,,,retail_listing,http://world-en.openfoodfacts.org/product/0759333000019/african-hot-pepper-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|agave-red-chile-hot-sauce-with-red-jalapeno-chipotle-chile,,,agave-red-chile-hot-sauce-with-red-jalapeno-chipotle-chile,Agave red chile hot sauce with red jalapeno & chipotle chile,,00604183121875,,,retail_listing,http://world-en.openfoodfacts.org/product/0604183121875/agave-red-chile-hot-sauce-with-red-jalapeno-chipotle-chile,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|aged-red-habanero-pepper,,,aged-red-habanero-pepper,Aged Red Habanero Pepper Sauce,,00038259126912,,,retail_listing,http://world-en.openfoodfacts.org/product/0038259126912/aged-red-habanero-pepper-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|ahmed-mango-chilli,,,ahmed-mango-chilli,Ahmed Mango Chilli sauce,,00054529502835,,,retail_listing,http://world-en.openfoodfacts.org/product/0054529502835/ahmed-mango-chilli-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|aji-amarillo-poco-picante,,,aji-amarillo-poco-picante,aji Amarillo Poco picante,,00859174003290,,,retail_listing,http://world-en.openfoodfacts.org/product/0859174003290/aji-amarillo-poco-picante,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|albert-s-mexican,,,albert-s-mexican,Albert's Mexican hot sauce,,00073816160138,,,retail_listing,http://world-en.openfoodfacts.org/product/0073816160138/albert-s-mexican-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|all-pro,,,all-pro,All pro - hot sauce,,00714439500207,,,retail_listing,http://world-en.openfoodfacts.org/product/0714439500207/all-pro-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|almonds-sweet-sriracha,,,almonds-sweet-sriracha,"Almonds, sweet sriracha",,00019962936036,,,retail_listing,http://world-en.openfoodfacts.org/product/0019962936036/almonds-sweet-sriracha,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|alvins-scotch-bonnet-pepper,,,alvins-scotch-bonnet-pepper,Alvins scotch bonnet pepper hot sauce,,00862037000251,,,retail_listing,http://world-en.openfoodfacts.org/product/0862037000251/alvins-scotch-bonnet-pepper-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|ancho-chile-salsa,,,ancho-chile-salsa,Ancho chile salsa,,00868362000201,,,retail_listing,http://world-en.openfoodfacts.org/product/0868362000201/ancho-chile-salsa,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|ancho-morita-smokey-tamarind,,,ancho-morita-smokey-tamarind,Ancho & Morita smokey tamarind sauce,,00617529519533,,,retail_listing,http://world-en.openfoodfacts.org/product/0617529519533/ancho-morita-smokey-tamarind-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|and-vidalia-onion,,,and-vidalia-onion,And vidalia onion hot sauce,,00786784199535,,,retail_listing,http://world-en.openfoodfacts.org/product/0786784199535/and-vidalia-onion-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|apple-blackberry,,,apple-blackberry,Apple Blackberry Hot Sauce,,00860101002125,,,retail_listing,http://world-en.openfoodfacts.org/product/0860101002125/apple-blackberry-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|apple-chipotle-all-purpose,,,apple-chipotle-all-purpose,Apple chipotle all purpose sauce,,00029988243872,,,retail_listing,http://world-en.openfoodfacts.org/product/0029988243872/apple-chipotle-all-purpose-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|arbol-chile,,,arbol-chile,Arbol Chile Hot Sauce,,00647341983205,,,retail_listing,http://world-en.openfoodfacts.org/product/0647341983205/arbol-chile-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|arizona-gunslingers-habanero-pepper,,,arizona-gunslingers-habanero-pepper,Arizona gunslingers habanero pepper sauce,,00027328551113,,,retail_listing,http://world-en.openfoodfacts.org/product/0027328551113/arizona-gunslingers-habanero-pepper-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|artisan,,,artisan,Artisan hot sauce,,00867827000046,,,retail_listing,http://world-en.openfoodfacts.org/product/0867827000046/artisan-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|arugas,,,arugas,arugas hot sauce,,00855471003001,,,retail_listing,http://world-en.openfoodfacts.org/product/0855471003001/arugas-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|asian-style-bbq-wing,,,asian-style-bbq-wing,Asian style bbq wing sauce,,00725439996860,,,retail_listing,http://world-en.openfoodfacts.org/product/0725439996860/asian-style-bbq-wing-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|asian-style-sweet-chili-wing,,,asian-style-sweet-chili-wing,asian style sweet chili wing sauce,,04018737163567,,,retail_listing,http://world-en.openfoodfacts.org/product/4018737163567/asian-style-sweet-chili-wing-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|ass-kickin-roasted-garlic-hot-sauce-travel-size,,,ass-kickin-roasted-garlic-hot-sauce-travel-size,Ass kickin’ roasted garlic hot sauce – travel size,,00089382116882,,,retail_listing,http://world-en.openfoodfacts.org/product/0089382116882/ass-kickin-roasted-garlic-hot-sauce-travel-size,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|ass-kickin-sriracha,,,ass-kickin-sriracha,Ass kickin sriracha hot sauce,,00089382117742,,,retail_listing,http://world-en.openfoodfacts.org/product/0089382117742/ass-kickin-sriracha-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|atomic,,,atomic,Atomic hot sauce,,00793573863379,,,retail_listing,http://world-en.openfoodfacts.org/product/0793573863379/atomic-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|authentic-wing,,,authentic-wing,Authentic wing sauce,,00748159003854,,,retail_listing,http://world-en.openfoodfacts.org/product/0748159003854/authentic-wing-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|avocado-summer-roll-w-sweet-chili,,,avocado-summer-roll-w-sweet-chili,Avocado summer roll w/ sweet chili sauce,,00812824014459,,,retail_listing,http://world-en.openfoodfacts.org/product/0812824014459/avocado-summer-roll-w-sweet-chili-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|awesome-green-chile,,,awesome-green-chile,Awesome Green Chile Sauce,,00850018483070,,,retail_listing,http://world-en.openfoodfacts.org/product/0850018483070/awesome-green-chile-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|awesome-hot-sauce-orginal-recipe,,,awesome-hot-sauce-orginal-recipe,Awesome Hot Sauce - Orginal recipe,,00638037696028,,,retail_listing,http://world-en.openfoodfacts.org/product/0638037696028/awesome-hot-sauce-orginal-recipe,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|awesome-spicy-avocado,,,awesome-spicy-avocado,Awesome spicy avocado,,00638037696042,,,retail_listing,http://world-en.openfoodfacts.org/product/0638037696042/awesome-spicy-avocado,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bada-bean-bada-boom-enlightened-sweet-sriracha,,,bada-bean-bada-boom-enlightened-sweet-sriracha,Bada bean bada boom enlightened sweet sriracha,,00852109004768,,,retail_listing,http://world-en.openfoodfacts.org/product/0852109004768/bada-bean-bada-boom-enlightened-sweet-sriracha,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bajan-hot-pepper,,,bajan-hot-pepper,Bajan hot pepper sauce,,00797512713206,,,retail_listing,http://world-en.openfoodfacts.org/product/0797512713206/bajan-hot-pepper-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bar-b-q-spicy-chipotle,,,bar-b-q-spicy-chipotle,Bar-b-q spicy chipotle sauce,,00755133000075,,,retail_listing,http://world-en.openfoodfacts.org/product/0755133000075/bar-b-q-spicy-chipotle-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bbq-sriracha-wild-salmon,,,bbq-sriracha-wild-salmon,BBQ Sriracha Wild Salmon,,00731149338401,,,retail_listing,http://world-en.openfoodfacts.org/product/0731149338401/bbq-sriracha-wild-salmon,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|beast-man-ravenous,,,beast-man-ravenous,Beast Man Ravenous Hot Sauce,,00400428312554,,,retail_listing,http://world-en.openfoodfacts.org/product/0400428312554/beast-man-ravenous-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bee-sting-honey-and-habanero-pepper,,,bee-sting-honey-and-habanero-pepper,Bee sting honey and habanero pepper sauce,,00751059900321,,,retail_listing,http://world-en.openfoodfacts.org/product/0751059900321/bee-sting-honey-and-habanero-pepper-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|belizean-heat,,,belizean-heat,Belizean heat hot sauce,,00025315351234,,,retail_listing,http://world-en.openfoodfacts.org/product/0025315351234/belizean-heat-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|best-buffalo,,,best-buffalo,Best buffalo sauce,,00616043574431,,,retail_listing,http://world-en.openfoodfacts.org/product/0616043574431/best-buffalo-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|better-buffalo-wing,,,better-buffalo-wing,Better buffalo wing sauce,,00864999000232,,,retail_listing,http://world-en.openfoodfacts.org/product/0864999000232/better-buffalo-wing-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|beware-comatose,,,beware-comatose,Beware comatose hot sauce,,00025315351241,,,retail_listing,http://world-en.openfoodfacts.org/product/0025315351241/beware-comatose-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|beware-comatose-heat-level-habanero-pepper,,,beware-comatose-heat-level-habanero-pepper,Beware Comatose Heat Level Habanero Pepper Sauce,,00025315368805,,,retail_listing,http://world-en.openfoodfacts.org/product/0025315368805/beware-comatose-heat-level-habanero-pepper-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bg-foods-trappeys-bull-brand-louisiana-hot-sauce-bottle,,,bg-foods-trappeys-bull-brand-louisiana-hot-sauce-bottle,Bg foods trappeys bull brand louisiana hot sauce bottle,,00748159117520,,,retail_listing,http://world-en.openfoodfacts.org/product/0748159117520/bg-foods-trappeys-bull-brand-louisiana-hot-sauce-bottle,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|big-red-s,,,big-red-s,Big Red’s Hot Sauce,,00852195005076,,,retail_listing,http://world-en.openfoodfacts.org/product/0852195005076/big-red-s-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|black-bison,,,black-bison,Black bison hot sauce,,00706795003683,,,retail_listing,http://world-en.openfoodfacts.org/product/0706795003683/black-bison-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|black-garlic-carolina-reaper-hot-ones,,,black-garlic-carolina-reaper-hot-ones,Black garlic carolina reaper | hot ones hot sauce,,00850771005168,,,retail_listing,http://world-en.openfoodfacts.org/product/0850771005168/black-garlic-carolina-reaper-hot-ones-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|black-label,,,black-label,Black label hotsauce,,00195893207626,,,retail_listing,http://world-en.openfoodfacts.org/product/0195893207626/black-label-hotsauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|black-mamba-chipotle-chilli,,,black-mamba-chipotle-chilli,Black Mamba Chipotle Chilli Sauce,,00707879840965,,,retail_listing,http://world-en.openfoodfacts.org/product/0707879840965/black-mamba-chipotle-chilli-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|black-truffle-infused,,,black-truffle-infused,Black Truffle Infused Hot Sauce,,00860003198933,,,retail_listing,http://world-en.openfoodfacts.org/product/0860003198933/black-truffle-infused-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|blackened-sriracha-rub,,,blackened-sriracha-rub,Blackened Sriracha Rub,,00684678403310,,,retail_listing,http://world-en.openfoodfacts.org/product/0684678403310/blackened-sriracha-rub,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|blind-in-the-rind,,,blind-in-the-rind,Blind in the rind hot sauce,,00830139000035,,,retail_listing,http://world-en.openfoodfacts.org/product/0830139000035/blind-in-the-rind-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|blue-top-brand-creamy-hot-sauce-garlic-hatch,,,blue-top-brand-creamy-hot-sauce-garlic-hatch,Blue top brand creamy hot sauce garlic hatch,,00816277020043,,,retail_listing,http://world-en.openfoodfacts.org/product/0816277020043/blue-top-brand-creamy-hot-sauce-garlic-hatch,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|blue-top-brand-creamy-hot-sauce-honey-chipotle,,,blue-top-brand-creamy-hot-sauce-honey-chipotle,Blue top brand creamy hot sauce honey chipotle,,00816277020036,,,retail_listing,http://world-en.openfoodfacts.org/product/0816277020036/blue-top-brand-creamy-hot-sauce-honey-chipotle,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|blueberry-hell,,,blueberry-hell,Blueberry hell hot sauce,,00855713005046,,,retail_listing,http://world-en.openfoodfacts.org/product/0855713005046/blueberry-hell-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bold-peppery-wing,,,bold-peppery-wing,Bold & peppery wing sauce,,00041130389030,,,retail_listing,http://world-en.openfoodfacts.org/product/0041130389030/bold-peppery-wing-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bold-spicy-bbq-wing,,,bold-spicy-bbq-wing,Bold & spicy bbq wing sauce,,00733286000104,,,retail_listing,http://world-en.openfoodfacts.org/product/0733286000104/bold-spicy-bbq-wing-sauce-bold-spicy,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bold-sriracha-smart-snacking,,,bold-sriracha-smart-snacking,Bold sriracha smart snacking,,00041570110546,,,retail_listing,http://world-en.openfoodfacts.org/product/0041570110546/bold-sriracha-smart-snacking,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bolis-chamoy,,,bolis-chamoy,Bolis Chamoy,,00634242301115,,,retail_listing,http://world-en.openfoodfacts.org/product/0634242301115/bolis-chamoy,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bomba-di-calabria-calabrian-hot-pepper-paste,,,bomba-di-calabria-calabrian-hot-pepper-paste,"Bomba di calabria, calabrian hot pepper paste",,08032551795076,,,retail_listing,http://world-en.openfoodfacts.org/product/8032551795076/bomba-di-calabria-calabrian-hot-pepper-paste,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bone-suckin-habanero,,,bone-suckin-habanero,Bone suckin habanero sauce,,00754496644001,,,retail_listing,http://world-en.openfoodfacts.org/product/0754496644001/bone-suckin-habanero-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|boneless-wings-with-buffalo,,,boneless-wings-with-buffalo,Boneless Wings with Buffalo Sauce,,00210023509996,,,retail_listing,http://world-en.openfoodfacts.org/product/0210023509996/boneless-wings-with-buffalo-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bossy-gourmet-hatch-red-chile,,,bossy-gourmet-hatch-red-chile,the bossy gourmet hatch red Chile sauce,,00000014444876,,,retail_listing,http://world-en.openfoodfacts.org/product/14444876/the-bossy-gourmet-hatch-red-chile-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bottle-da-bomb-beyond-insanity,,,bottle-da-bomb-beyond-insanity,Bottle da bomb beyond insanity hot sauce,,00732458901140,,,retail_listing,http://world-en.openfoodfacts.org/product/0732458901140/bottle-da-bomb-beyond-insanity-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:|bourban-barrel,,,bourban-barrel,Bourban barrel hot sauce,,00860008207623,,,retail_listing,http://world-en.openfoodfacts.org/product/0860008207623/bourban-barrel-hot-sauce,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
